Feature	CompGroup.C.	BaseGroup.B.	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	X95.Conf.Int.1	X95.Conf.Int.2	MeanC	MeanB	NullValue.DifferenceInMeans	Alternative	Method	FDR
X2707876_LAMP3	Relapsed	No_relapse	20	20	-1.2152338825307	-2.48491375612824	35.5927274762526	0.0178003597788284	-0.510857941224211	-0.0516100587757877	4.5626825	4.8439165	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3046520_TARP	Relapsed	No_relapse	20	20	-1.13513036928446	-2.47670797245077	37.8192538461687	0.0178490082441799	-0.332344648874216	-0.0333713511257852	2.906941	3.089799	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2903285_PSMB9	Relapsed	No_relapse	20	20	-1.74644232553898	-2.47946140596265	36.7811421184838	0.0178672826137789	-1.46191467288618	-0.146923327113817	8.06523	8.869649	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3955102_GSTT1	Relapsed	No_relapse	20	20	1.32123995201239	2.50368624215907	30.3917563809338	0.0178831561803179	0.0742433950998838	0.729541604900116	4.7795155	4.377623	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3186123_ORM1	Relapsed	No_relapse	20	20	-2.14415618697974	-2.55220988708576	22.7561244412379	0.0178941948617495	-1.99286096928068	-0.207959030719325	1.9675315	3.0679415	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3937587_MED15	Relapsed	No_relapse	20	20	1.16395799895085	2.48287862916755	35.4168522560066	0.0179123413978097	0.0400186526251657	0.398059347374835	5.6136485	5.3946095	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3928590_KRTAP21.1	Relapsed	No_relapse	20	20	1.76408246050454	2.4715876621893	37.6650163700296	0.0180895615018058	0.147973904175509	1.48986209582449	3.160773	2.341855	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3260895_SEMA4G	Relapsed	No_relapse	20	20	1.22896983050969	2.48392644949253	33.8603854115978	0.0181046088712365	0.0540518204592086	0.540847179540791	5.2921165	4.994667	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3278057_CCDC3	Relapsed	No_relapse	20	20	-1.20659039247087	-2.46980784392718	37.9999885592537	0.0181238539680224	-0.493010467843788	-0.048861532156213	2.865287	3.136223	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2767790_GNPDA2	Relapsed	No_relapse	20	20	-1.15974449651716	-2.47357501201802	35.8251367197859	0.0182539256425607	-0.389137925617565	-0.0384760743824344	2.7488445	2.9626515	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2453065_C1orf116	Relapsed	No_relapse	20	20	1.16496046879941	2.46695693765803	37.1802320620246	0.018355300822043	0.03938660552203	0.40117539447797	5.045089	4.824808	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3835911_APOC4	Relapsed	No_relapse	20	20	1.19389089467487	2.48113827842001	32.966346960695	0.0183715256821376	0.0460145136271112	0.465327486372888	5.802073	5.546402	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2749191_GLRB	Relapsed	No_relapse	20	20	-1.14904715099874	-2.49751229649586	28.2128773280764	0.0186075734373721	-0.364777173639958	-0.0360988263600423	1.869812	2.07025	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3843386_ZNF530	Relapsed	No_relapse	20	20	-1.28221838503262	-2.46318518544448	36.1163648987622	0.0186686516075745	-0.653901296516151	-0.0633827034838486	3.0261195	3.3847615	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3945914_ATF4	Relapsed	No_relapse	20	20	1.11764460134745	2.46852815033495	34.126222946666	0.0187322149922267	0.0283776989146594	0.292545301085339	5.972281	5.8118195	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3674273_C16orf55	Relapsed	No_relapse	20	20	-1.24222886809047	-2.46249828308642	35.7411450438905	0.0187533126615575	-0.570723310907193	-0.0551386890928066	4.3362755	4.6492065	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2460189_PGBD5	Relapsed	No_relapse	20	20	-1.18510796774771	-2.48662640397188	29.2178367689276	0.0188520868780991	-0.446478945391854	-0.043558054608146	3.475834	3.7208525	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3318383_OR52B6	Relapsed	No_relapse	20	20	1.26048504371471	2.453075048442	37.9975277867507	0.018865203576137	0.0583630609420968	0.609594939057903	4.239443	3.905464	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2527580_CXCR2	Relapsed	No_relapse	20	20	-1.14044154413049	-2.45141631747624	37.4652965326395	0.0190103262035578	-0.346232526875358	-0.0329524731246429	3.5146895	3.704282	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2791593_C4orf45	Relapsed	No_relapse	20	20	-1.18287817688026	-2.47011427596368	31.7259375766599	0.0190751934948864	-0.442178596423155	-0.0424244035768461	2.0345975	2.276899	0	two.sided	Welch Two Sample t-test	0.998325515159334
