x
1	X3937294_LOC150197
2	X2947877_UBD
3	X3925473_SAMSN1
4	X2452311_TMEM81
5	X2638988_PARP15
6	X2492783_THNSL2
7	X3069082_TFEC
8	X2382898_LBR
9	X3672528_
10	X2940202_F13A1
11	X3617712_GJD2
12	X3257268_IFIT5
13	X2497119_IL18R1
14	X2783916_TNIP3
15	X3420442_IRAK3
16	X2891241_DUSP22
17	X2693332_ALG1L
18	X2773958_CXCL10
19	X3167553_IL11RA
20	X3735089_LOC643008
